381,51811,250
4357,55829,602
1108,53227,190
1107,52968,225
990,52465,469
5145,55835,180
5146,55831,391
4196,55478,962
5146,55831,84
5145,55835,453
5145,55835,330
5146,55831,461
5145,55835,36
4196,55478,944
5146,55831,210
1112,53180,244
4191,55444,41
4383,55881,586
4192,55469,88
4193,55476,367
988,52520,262
4194,55450,366
4194,55450,128
4195,55452,376
1029,52912,1
4195,55452,138
4196,55478,328
1107,52968,208
4375,55889,824
372,52173,242
4198,55480,224
4198,55480,81
1033,52822,210
4199,55481,84
1104,52912,292
1104,52912,217
4201,55443,402
375,52140,253
4195,55452,176
4195,55452,57
371,52078,304
4197,55479,346
1107,52968,20
1474,52933,106
373,51788,298
4199,55481,220
4200,55499,449
1104,52912,260
4200,55499,125
374,51791,18
1103,52873,293
4201,55443,58
4202,55445,290
4203,55447,412
673,52162,57
1108,53227,263
4195,55452,14
1107,52968,305
371,52078,199
4198,55480,470
4198,55480,338
4198,55480,118
372,52173,26
5141,55746,125
1103,52873,452
1475,52903,126
1105,52937,96
4200,55499,406
4200,55499,212
4200,55499,47
4201,55443,404
1103,52873,253
1103,52873,91
375,52140,19
4202,55445,54
673,52162,3
4203,55447,124
674,52201,12
4204,55470,108
4205,55454,416
4205,55454,244
4206,55471,447
4206,55471,298
4206,55471,116
4207,55475,332
677,52606,96
4208,55476,374
381,51811,260
4209,55478,292
382,51816,216
4210,55444,331
680,52200,208
4210,55444,44
4211,55446,330
4211,55446,176
1094,52524,290
681,52199,83
4212,55447,255
385,51783,287
1093,52591,257
682,52525,13
4213,55449,96
4214,55451,288
4215,55471,442
4215,55471,372
4215,55471,174
685,52203,268
4216,55477,290
1093,52591,458
1093,52591,528
683,52524,457
683,52524,574
4192,55469,84
4193,55476,58
988,52520,103
4195,55452,368
4195,55452,208
1030,52914,139
4196,55478,374
1107,52968,286
1107,52968,134
4197,55479,88
4198,55480,230
4199,55481,458
4216,55477,173
685,52203,34
4217,55478,246
4217,55478,135
4218,55479,460
4218,55479,216
687,52518,47
683,52524,114
4214,55451,114
4215,55471,358
1091,52902,284
4215,55471,137
4215,55471,60
685,52203,147
388,51793,267
388,51793,148
1089,52913,164
4218,55479,149
4209,55478,66
4211,55446,518
681,52199,346
1095,52521,63
4212,55447,476
682,52525,308
3142,54735,499
384,51821,33
385,51783,177
385,51783,117
4214,55451,397
4214,55451,278
1903,53357,25
683,52524,25
684,52523,153
4215,55471,158
685,52203,215
4216,55477,350
4217,55478,538
4217,55478,480
669,52559,193
1090,52903,121
4218,55479,472
687,52518,268
4219,55480,494
687,52518,112
4218,55479,853
4218,55479,932
682,52525,528
4213,55449,848
4214,55451,607
683,52524,492
4215,55471,572
4215,55471,680
685,52203,358
4216,55477,596
4216,55477,756
4216,55477,922
686,52519,451
686,52519,571
4218,55479,682
4218,55479,876
687,52518,505
4215,55471,588
4215,55471,821
685,52203,349
685,52203,505
4216,55477,862
686,52519,328
4217,55478,790
686,52519,525
4218,55479,666
4218,55479,782
4218,55479,904
376,52143,282
1102,52883,220
4203,55447,282
4203,55447,96
4204,55470,292
4204,55470,106
675,52590,122
4205,55454,242
4364,55855,706
379,51789,124
